Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,TotRmsAbvGrd,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,Fireplaces,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_No_fireplace,FireplaceQu_Po,FireplaceQu_TA,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No_garage,GarageYrBlt,GarageFinish_Fin,GarageFinish_No_garage,GarageFinish_RFn,GarageFinish_Unf,GarageCars,GarageArea,GarageQual_Ex,GarageQual_Fa,GarageQual_Gd,GarageQual_No_garage,GarageQual_Po,GarageQual_TA,GarageCond_Ex,GarageCond_Fa,GarageCond_Gd,GarageCond_No_garage,GarageCond_Po,GarageCond_TA,PavedDrive_N,PavedDrive_P,PavedDrive_Y,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SalePrice
0,0,0,0,1,1040,0,0,1040,1,0,1,0,3,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1965.0,0,0,0,1,1,384,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,129500
0,0,0,0,1,1182,1142,0,2324,1,0,3,0,4,1,1,0,0,0,11,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2005.0,1,0,0,0,3,736,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,147,21,0,0,0,0,0,7,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,345000
0,0,0,0,1,912,0,0,912,1,0,1,0,2,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1962.0,0,0,0,1,1,352,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,140,0,0,0,176,0,0,9,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,144000
0,0,0,0,1,1494,0,0,1494,0,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2006.0,0,0,1,0,3,840,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,160,33,0,0,0,0,0,8,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,279500
0,0,0,0,1,1253,0,0,1253,1,0,1,1,2,1,0,0,0,1,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1960.0,0,0,1,0,1,352,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,213,176,0,0,0,0,5,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,157000
1,0,0,0,0,854,0,0,854,0,0,1,0,2,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1991.0,0,0,0,1,2,576,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,48,112,0,0,0,0,0,7,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,132000
0,0,0,0,1,1004,0,0,1004,1,0,1,0,2,1,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1970.0,1,0,0,0,2,480,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,700,3,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,149000
0,0,0,0,1,1296,0,0,1296,0,0,2,0,2,2,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1967.0,0,0,0,1,2,516,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,500,10,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90000
0,0,0,0,1,1114,0,0,1114,1,0,1,1,3,1,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2004.0,0,0,0,1,2,576,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,102,0,0,0,0,0,6,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,159000
0,0,0,0,1,1339,0,0,1339,0,0,1,0,3,1,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1958.0,0,0,0,1,1,294,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,2009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,139000
0,0,0,0,1,1158,1218,0,2376,0,0,3,1,4,1,0,0,1,0,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2005.0,0,0,1,0,3,853,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,240,154,0,0,0,0,0,11,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,325300
0,1,0,0,0,1108,0,0,1108,0,0,1,0,3,1,0,0,1,0,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1930.0,0,0,0,1,1,280,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,205,0,0,0,0,6,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,139400
0,0,0,0,1,1795,0,0,1795,0,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2002.0,0,0,1,0,2,534,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,171,159,0,0,0,0,0,9,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,230000
0,0,0,0,1,1060,0,0,1060,1,0,1,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1976.0,0,0,0,1,2,572,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,100,110,0,0,0,0,0,6,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,129900
0,0,0,0,1,1060,0,0,1060,1,0,1,0,3,1,0,0,1,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1968.0,0,0,0,1,1,270,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,406,90,0,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,154000
0,0,0,0,1,1600,0,0,1600,0,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2007.0,0,0,1,0,3,890,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,56,0,0,0,0,0,7,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,256300
0,0,0,0,1,900,0,0,900,0,1,1,0,3,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2005.0,0,0,0,1,2,576,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,222,32,0,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,134800
0,0,0,0,1,1704,0,0,1704,1,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2008.0,0,0,1,0,3,772,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,50,0,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,306000
0,0,0,0,1,1600,0,0,1600,1,0,1,0,2,1,0,0,0,1,6,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1957.0,0,0,1,0,1,319,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,288,258,0,0,0,0,0,12,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,207500
0,0,0,0,1,520,0,0,520,0,0,1,0,1,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1920.0,0,0,0,1,1,240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,49,0,87,0,0,0,0,5,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,68500
0,0,0,0,1,649,668,0,1317,0,0,1,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1920.0,0,0,0,1,1,250,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,54,172,0,0,0,0,7,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,40000
0,0,0,0,1,1228,0,0,1228,0,0,1,1,3,1,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1966.0,0,0,0,1,1,271,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,65,0,0,0,0,0,6,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,149350
0,0,0,0,1,1234,0,0,1234,0,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2007.0,0,0,1,0,2,484,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,1,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,179900
0,0,0,0,1,1700,0,0,1700,0,1,1,1,4,1,0,0,1,0,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1959.0,0,0,1,0,2,447,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,38,0,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,165500
0,0,0,0,1,1561,0,0,1561,1,0,2,0,2,1,1,0,0,0,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2005.0,1,0,0,0,2,556,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,203,47,0,0,0,0,0,8,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,277500
0,0,0,0,1,1132,1320,0,2452,0,0,3,1,4,1,0,0,1,0,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2004.0,1,0,0,0,3,691,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,113,32,0,0,0,0,0,9,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,309000
0,0,0,0,1,1097,0,0,1097,0,0,1,1,3,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1995.0,0,0,0,1,2,672,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,392,64,0,0,0,0,0,6,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,145000
0,0,0,0,1,1297,0,0,1297,0,1,1,0,3,1,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1954.0,1,0,0,0,2,498,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,153000
0,0,0,0,1,1057,0,0,1057,1,0,1,0,3,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1953.0,0,0,0,1,1,246,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,52,0,0,0,0,0,1,2010,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,109000
0,0,1,0,0,1152,0,0,1152,0,0,2,0,2,2,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1965.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,2008,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,82000
0,0,0,0,1,1324,0,0,1324,0,0,2,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1965.0,0,0,1,0,2,440,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,138,0,0,0,0,0,12,2006,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,160000
0,0,0,0,1,1328,0,0,1328,0,1,1,1,2,1,0,0,0,1,5,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1959.0,0,0,1,0,1,308,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,104,0,0,0,0,0,7,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,170000
0,0,0,0,1,884,0,0,884,1,0,1,0,2,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1983.0,0,0,1,0,2,504,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,240,0,0,0,0,0,0,12,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,144000
0,0,0,0,1,938,0,0,938,1,0,1,0,3,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1977.0,0,0,0,1,1,308,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,145,0,0,0,0,0,0,7,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,130250
1,0,0,0,0,1150,0,0,1150,1,0,1,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1959.0,0,0,1,0,1,300,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,141000
0,0,0,0,1,1752,0,0,1752,1,0,2,0,2,1,1,0,0,0,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2005.0,0,0,1,0,2,576,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,196,82,0,0,0,0,0,2,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,319900
0,0,0,0,1,1518,631,0,2149,1,0,1,1,1,1,0,0,1,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2003.0,0,0,1,0,2,670,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,168,43,0,0,198,0,0,8,2009,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,239686
0,0,0,0,1,1656,0,0,1656,0,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2006.0,0,0,1,0,3,826,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,146,0,0,0,0,0,7,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,249700
0,0,0,0,1,736,716,0,1452,0,0,2,0,2,3,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2004.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,102,0,0,0,0,6,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,113000
0,0,0,0,1,955,0,0,955,1,0,1,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1966.0,0,0,0,1,1,386,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,127000
0,0,0,0,1,794,676,0,1470,0,1,2,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1997.0,1,0,0,0,2,388,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,75,0,0,0,0,0,7,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,177000
0,0,0,0,1,816,0,360,1176,0,0,1,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1985.0,0,0,0,1,2,528,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,112,0,0,0,0,0,400,9,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,114500
0,0,0,0,1,816,0,0,816,1,0,1,0,2,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1963.0,0,0,0,1,2,516,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,106,0,0,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,110000
0,0,0,0,1,1842,0,0,1842,2,0,0,1,0,1,0,0,1,0,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1981.0,1,0,0,0,3,894,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,857,72,0,0,0,0,0,11,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,385000
0,0,0,0,1,1360,0,0,1360,0,0,1,0,3,1,0,0,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1962.0,0,0,0,1,2,572,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,50,0,0,0,0,0,2,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,130000
0,0,0,0,1,1425,0,0,1425,0,0,2,0,3,1,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1964.0,0,0,1,0,2,576,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,407,0,0,0,7,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,180500
0,0,0,0,1,983,756,0,1739,1,0,2,1,3,1,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1999.0,1,0,0,0,2,480,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,115,0,0,0,0,0,0,8,2009,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,172500
0,0,0,0,1,860,860,0,1720,0,0,2,1,3,1,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2004.0,0,0,1,0,2,565,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,70,0,0,0,0,0,8,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,196500
0,0,0,0,1,1426,1519,0,2945,0,0,3,1,3,1,0,0,1,0,10,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2006.0,1,0,0,0,3,641,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,192,0,37,0,0,0,0,10,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,438780
0,0,0,0,1,780,0,0,780,0,0,1,0,2,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1973.0,0,0,0,1,1,352,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,196,0,0,0,0,0,0,1,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,124900
0,0,0,0,1,1158,0,0,1158,1,0,1,1,3,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2006.0,0,0,0,1,2,576,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,50,0,0,0,0,0,5,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,158000
0,0,0,0,1,581,530,0,1111,0,0,1,0,3,1,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1935.0,0,0,0,1,1,288,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,144,0,0,0,0,3,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101000
0,0,0,0,1,1370,0,0,1370,0,0,2,0,2,1,0,0,1,0,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2006.0,0,0,1,0,2,484,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,120,49,0,0,0,0,0,10,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,202500
0,0,0,0,1,902,808,0,1710,0,0,2,0,3,1,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1990.0,0,0,0,1,2,480,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,12,11,64,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,140000
0,0,0,0,1,1057,977,0,2034,1,0,2,1,3,1,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1998.0,0,0,1,0,2,645,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,576,36,0,0,0,0,0,2,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,219500
0,0,0,0,1,1143,1330,0,2473,0,0,2,1,4,1,0,0,1,0,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2004.0,0,0,1,0,3,852,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,192,151,0,0,0,0,0,10,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,317000
0,0,0,0,1,2207,0,0,2207,1,0,2,0,3,1,0,0,0,1,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1970.0,0,0,1,0,2,576,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,301,0,0,0,0,0,0,7,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,180000
